BRANCH BOUND ;;
;;
ROZMIAR 6;;6
6.84E+06;6.8444;7
;;8
ROZMIAR 7;;9
8.47E+07;84.7306;10
;;11
ROZMIAR 8;;12
2.08E+08;207.821;
;;
ROZMIAR 9;;
6.45E+08;644.748;
;;
ROZMIAR 10;;
1.56E+09;1558.78;
;;
ROZMIAR 11;;
4.11E+09;4109.68;
;;
ROZMIAR 12;;
1.19E+10;11895.3;
